122.00,2.331E-04
122.50,2.307E-04
123.00,2.282E-04
123.50,2.256E-04
124.00,2.230E-04
124.10,2.224E-04
124.20,2.219E-04
124.30,2.214E-04
124.40,2.208E-04
124.50,2.203E-04
124.60,2.198E-04
124.70,2.192E-04
124.80,2.187E-04
124.90,2.181E-04
125.00,2.176E-04
125.09,2.171E-04
125.10,2.170E-04
125.20,2.165E-04
125.30,2.159E-04
125.40,2.153E-04
125.50,2.148E-04
125.60,2.142E-04
125.70,2.137E-04
125.80,2.131E-04
125.90,2.125E-04
126.00,2.119E-04 
126.50,2.092E-04
127.00,2.061E-04
127.50,2.032E-04
128.00,2.002E-04 
